mes;provincia;municipio;cuit;tipo;monto
05/2019;30-54653274-3;"BUENOS AIRES";ESCOBAR;646829.11;"Comp. Tarifaria"
05/2019;30-68679471-3;"BUENOS AIRES";ESCOBAR;4321767.71;"Comp. Tarifaria"
05/2019;30-68679471-3;"BUENOS AIRES";ESCOBAR;1230000.00;"Comp. Gasoil"
05/2019;30-69225833-5;"BUENOS AIRES";ESCOBAR;4661370.21;"Comp. Tarifaria"
05/2019;30-69225833-5;"BUENOS AIRES";ESCOBAR;1000000.00;"Comp. Gasoil"
05/2019;30-54633296-5;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";6090000.00;"Comp. Gasoil"
05/2019;30-54633296-5;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";17096738.19;"Comp. Tarifaria"
05/2019;30-70790289-9;"BUENOS AIRES";"EXALTACION DE LA CRUZ";1629107.31;"Comp. Tarifaria"
05/2019;30-70790289-9;"BUENOS AIRES";"EXALTACION DE LA CRUZ";216000.00;"Comp. Gasoil"
05/2019;30-69305982-4;"BUENOS AIRES";EZEIZA;3600000.00;"Comp. Gasoil"
05/2019;30-69305982-4;"BUENOS AIRES";EZEIZA;10975127.66;"Comp. Tarifaria"
05/2019;30-54622889-0;"BUENOS AIRES";"FLORENCIO VARELA";2568408.40;"Comp. Tarifaria"
05/2019;30-54622889-0;"BUENOS AIRES";"FLORENCIO VARELA";620000.00;"Comp. Gasoil"
05/2019;30-54669877-3;"BUENOS AIRES";"FLORENCIO VARELA";740000.00;"Comp. Gasoil"
05/2019;30-54669877-3;"BUENOS AIRES";"FLORENCIO VARELA";3851001.48;"Comp. Tarifaria"
05/2019;33-56815582-9;"BUENOS AIRES";"FLORENCIO VARELA";15253563.68;"Comp. Tarifaria"
05/2019;33-56815582-9;"BUENOS AIRES";"FLORENCIO VARELA";3040000.00;"Comp. Gasoil"
05/2019;30-54635445-4;"BUENOS AIRES";"GENERAL PUEYRREDON";1069582.76;"Comp. Tarifaria"
05/2019;30-54635452-7;"BUENOS AIRES";"GENERAL PUEYRREDON";1597136.28;"Comp. Tarifaria"
05/2019;30-54635810-7;"BUENOS AIRES";"GENERAL PUEYRREDON";1103961.50;"Comp. Tarifaria"
05/2019;30-57190059-5;"BUENOS AIRES";"GENERAL PUEYRREDON";6603138.10;"Comp. Tarifaria"
05/2019;30-61498725-8;"BUENOS AIRES";"GENERAL PUEYRREDON";370212.90;"Comp. Tarifaria"
05/2019;33-54634954-9;"BUENOS AIRES";"GENERAL RODRIGUEZ";1670000.00;"Comp. Gasoil"
05/2019;33-54634954-9;"BUENOS AIRES";"GENERAL RODRIGUEZ";7919743.13;"Comp. Tarifaria"
05/2019;30-54653274-3;"BUENOS AIRES";"GENERAL SAN MARTIN";2890000.00;"Comp. Gasoil"
05/2019;30-54653274-3;"BUENOS AIRES";"GENERAL SAN MARTIN";13044538.68;"Comp. Tarifaria"
05/2019;30-54622896-3;"BUENOS AIRES";ITUZAINGO;230000.00;"Comp. Gasoil"
05/2019;30-54622896-3;"BUENOS AIRES";ITUZAINGO;357704.05;"Comp. Tarifaria"
05/2019;30-54623417-3;"BUENOS AIRES";"JOSE C. PAZ";3659002.24;"Comp. Tarifaria"
05/2019;30-54623417-3;"BUENOS AIRES";"JOSE C. PAZ";710000.00;"Comp. Gasoil"
05/2019;30-65585353-3;"BUENOS AIRES";"JOSE C. PAZ";8930099.60;"Comp. Tarifaria"
05/2019;30-65585353-3;"BUENOS AIRES";"JOSE C. PAZ";1920000.00;"Comp. Gasoil"
05/2019;30-54622438-0;"BUENOS AIRES";"LA MATANZA";9853613.97;"Comp. Tarifaria"
05/2019;30-54622438-0;"BUENOS AIRES";"LA MATANZA";2540000.00;"Comp. Gasoil"
05/2019;30-54622964-1;"BUENOS AIRES";"LA MATANZA";10622420.21;"Comp. Tarifaria"
05/2019;30-54622964-1;"BUENOS AIRES";"LA MATANZA";3370000.00;"Comp. Gasoil"
05/2019;30-54625352-6;"BUENOS AIRES";"LA MATANZA";5953568.57;"Comp. Tarifaria"
05/2019;30-54625352-6;"BUENOS AIRES";"LA MATANZA";1860000.00;"Comp. Gasoil"
05/2019;30-54641796-0;"BUENOS AIRES";"LA MATANZA";12906484.57;"Comp. Tarifaria"
05/2019;30-54641796-0;"BUENOS AIRES";"LA MATANZA";3022000.00;"Comp. Gasoil"
05/2019;30-68013871-7;"BUENOS AIRES";"LA MATANZA";7750000.00;"Comp. Gasoil"
05/2019;30-68013871-7;"BUENOS AIRES";"LA MATANZA";25709666.94;"Comp. Tarifaria"
05/2019;30-54566659-2;"BUENOS AIRES";"LA PLATA";1170000.00;"Comp. Gasoil"
05/2019;30-54566659-2;"BUENOS AIRES";"LA PLATA";5402021.51;"Comp. Tarifaria"
05/2019;30-54624786-0;"BUENOS AIRES";"LA PLATA";22805579.93;"Comp. Tarifaria"
05/2019;30-54624786-0;"BUENOS AIRES";"LA PLATA";5510000.00;"Comp. Gasoil"
05/2019;30-54625291-0;"BUENOS AIRES";"LA PLATA";3860000.00;"Comp. Gasoil"
05/2019;30-54625291-0;"BUENOS AIRES";"LA PLATA";20136906.09;"Comp. Tarifaria"
05/2019;30-70729904-1;"BUENOS AIRES";"LA PLATA";3520000.00;"Comp. Gasoil"
05/2019;30-70729904-1;"BUENOS AIRES";"LA PLATA";13433690.93;"Comp. Tarifaria"
05/2019;30-71501182-0;"BUENOS AIRES";"LA PLATA";3396323.83;"Comp. Tarifaria"
05/2019;30-71501182-0;"BUENOS AIRES";"LA PLATA";650000.00;"Comp. Gasoil"
05/2019;30-54625451-4;"BUENOS AIRES";LANUS;1212910.37;"Comp. Tarifaria"
05/2019;30-54625451-4;"BUENOS AIRES";LANUS;420000.00;"Comp. Gasoil"
05/2019;30-54641925-4;"BUENOS AIRES";LANUS;5627884.91;"Comp. Tarifaria"
05/2019;30-54641925-4;"BUENOS AIRES";LANUS;1250000.00;"Comp. Gasoil"
05/2019;30-57197043-7;"BUENOS AIRES";LANUS;3215694.65;"Comp. Tarifaria"
05/2019;30-57197043-7;"BUENOS AIRES";LANUS;630000.00;"Comp. Gasoil"
05/2019;30-58039052-4;"BUENOS AIRES";LANUS;6332306.53;"Comp. Tarifaria"
05/2019;30-58039052-4;"BUENOS AIRES";LANUS;1536000.00;"Comp. Gasoil"
05/2019;30-70805898-6;"BUENOS AIRES";LANUS;820000.00;"Comp. Gasoil"
05/2019;30-70805898-6;"BUENOS AIRES";LANUS;2075469.91;"Comp. Tarifaria"
05/2019;33-62854085-9;"BUENOS AIRES";LOBOS;350000.00;"Comp. Gasoil"
05/2019;33-62854085-9;"BUENOS AIRES";LOBOS;1084767.45;"Comp. Tarifaria"
05/2019;30-54625505-7;"BUENOS AIRES";"LOMAS DE ZAMORA";2530975.79;"Comp. Tarifaria"
05/2019;30-54625505-7;"BUENOS AIRES";"LOMAS DE ZAMORA";572000.00;"Comp. Gasoil"
05/2019;30-54629668-3;"BUENOS AIRES";"LOMAS DE ZAMORA";1330000.00;"Comp. Gasoil"
05/2019;30-54629668-3;"BUENOS AIRES";"LOMAS DE ZAMORA";6996995.36;"Comp. Tarifaria"
05/2019;30-69305982-4;"BUENOS AIRES";"LOMAS DE ZAMORA";3872557.04;"Comp. Tarifaria"
05/2019;30-69305982-4;"BUENOS AIRES";"LOMAS DE ZAMORA";1190000.00;"Comp. Gasoil"
05/2019;30-70949454-2;"BUENOS AIRES";"LOMAS DE ZAMORA";3800000.00;"Comp. Gasoil"
05/2019;30-70949454-2;"BUENOS AIRES";"LOMAS DE ZAMORA";27885969.60;"Comp. Tarifaria"
05/2019;30-71521580-9;"BUENOS AIRES";"LOMAS DE ZAMORA";3540000.00;"Comp. Gasoil"
05/2019;30-71521580-9;"BUENOS AIRES";"LOMAS DE ZAMORA";17128762.05;"Comp. Tarifaria"
05/2019;33-54634565-9;"BUENOS AIRES";"LOMAS DE ZAMORA";920000.00;"Comp. Gasoil"
05/2019;33-54634565-9;"BUENOS AIRES";"LOMAS DE ZAMORA";3929561.20;"Comp. Tarifaria"
05/2019;30-70854893-2;"BUENOS AIRES";LUJAN;1210000.00;"Comp. Gasoil"
05/2019;30-70854893-2;"BUENOS AIRES";LUJAN;5796691.44;"Comp. Tarifaria"
05/2019;30-71136158-4;"BUENOS AIRES";"MALVINAS ARGENTINAS";3528439.00;"Comp. Tarifaria"
05/2019;30-71136158-4;"BUENOS AIRES";"MALVINAS ARGENTINAS";536000.00;"Comp. Gasoil"
05/2019;30-99908357-5;"BUENOS AIRES";MERCEDES;0.00;"Comp. Gasoil"
05/2019;30-54622896-3;"BUENOS AIRES";MERLO;16450572.05;"Comp. Tarifaria"
05/2019;30-54622896-3;"BUENOS AIRES";MERLO;5040000.00;"Comp. Gasoil"
05/2019;30-54632095-9;"BUENOS AIRES";MERLO;3900000.00;"Comp. Gasoil"
05/2019;30-54632095-9;"BUENOS AIRES";MERLO;16487148.42;"Comp. Tarifaria"
05/2019;33-71528200-9;"BUENOS AIRES";MERLO;13015825.64;"Comp. Tarifaria"
05/2019;33-71528200-9;"BUENOS AIRES";MERLO;2360000.00;"Comp. Gasoil"
05/2019;33-54634954-9;"BUENOS AIRES";MORENO;37091553.29;"Comp. Tarifaria"
05/2019;33-54634954-9;"BUENOS AIRES";MORENO;9950000.00;"Comp. Gasoil"
05/2019;30-54622438-0;"BUENOS AIRES";MORON;420000.00;"Comp. Gasoil"
05/2019;30-54622438-0;"BUENOS AIRES";MORON;3778790.65;"Comp. Tarifaria"
05/2019;30-54622896-3;"BUENOS AIRES";MORON;8039461.28;"Comp. Tarifaria"
05/2019;30-54622896-3;"BUENOS AIRES";MORON;2210000.00;"Comp. Gasoil"
05/2019;30-54625086-1;"BUENOS AIRES";NECOCHEA;658284.34;"Comp. Tarifaria"
05/2019;30-55736574-1;"BUENOS AIRES";NECOCHEA;121776.15;"Comp. Tarifaria"
05/2019;30-70958090-2;"BUENOS AIRES";OLAVARRÍA;211049.85;"Comp. Tarifaria"
05/2019;30-70995712-7;"BUENOS AIRES";OLAVARRÍA;413395.38;"Comp. Tarifaria"
05/2019;30-70792382-9;"BUENOS AIRES";PERGAMINO;603382.95;"Comp. Tarifaria"
05/2019;30-54661590-8;"BUENOS AIRES";PILAR;2630000.00;"Comp. Gasoil"
05/2019;30-54661590-8;"BUENOS AIRES";PILAR;14066387.93;"Comp. Tarifaria"
05/2019;30-60589091-8;"BUENOS AIRES";PILAR;830000.00;"Comp. Gasoil"
05/2019;30-60589091-8;"BUENOS AIRES";PILAR;7634168.41;"Comp. Tarifaria"
05/2019;30-70743778-9;"BUENOS AIRES";PILAR;14306183.54;"Comp. Tarifaria"
05/2019;30-70743778-9;"BUENOS AIRES";PILAR;2180000.00;"Comp. Gasoil"
05/2019;30-70790289-9;"BUENOS AIRES";PILAR;1238000.00;"Comp. Gasoil"
05/2019;30-70790289-9;"BUENOS AIRES";PILAR;6843838.62;"Comp. Tarifaria"
05/2019;30-71009265-2;"BUENOS AIRES";PILAR;220000.00;"Comp. Gasoil"
05/2019;30-71009265-2;"BUENOS AIRES";PILAR;999873.07;"Comp. Tarifaria"
05/2019;30-71140342-2;"BUENOS AIRES";PILAR;330000.00;"Comp. Gasoil"
05/2019;30-71140342-2;"BUENOS AIRES";PILAR;1760781.14;"Comp. Tarifaria"
05/2019;30-71142261-3;"BUENOS AIRES";PILAR;280000.00;"Comp. Gasoil"
05/2019;30-71142261-3;"BUENOS AIRES";PILAR;1681728.27;"Comp. Tarifaria"
05/2019;30-57190462-0;"BUENOS AIRES";PINAMAR;12471.06;"Comp. Tarifaria"
05/2019;30-52276217-9;"BUENOS AIRES";PROV;5070000.00;"Comp. Gasoil"
05/2019;30-52276217-9;"BUENOS AIRES";PROV;17120467.97;"Comp. Tarifaria"
05/2019;30-54563704-5;"BUENOS AIRES";PROV;13905282.67;"Comp. Tarifaria"
05/2019;30-54563704-5;"BUENOS AIRES";PROV;4810000.00;"Comp. Gasoil"
05/2019;30-54566659-2;"BUENOS AIRES";PROV;10803377.45;"Comp. Tarifaria"
05/2019;30-54566659-2;"BUENOS AIRES";PROV;2960000.00;"Comp. Gasoil"
05/2019;30-54622322-8;"BUENOS AIRES";PROV;1190000.00;"Comp. Gasoil"
05/2019;30-54622322-8;"BUENOS AIRES";PROV;5044414.21;"Comp. Tarifaria"
05/2019;30-54622346-5;"BUENOS AIRES";PROV;3280000.00;"Comp. Gasoil"
05/2019;30-54622346-5;"BUENOS AIRES";PROV;15263264.07;"Comp. Tarifaria"
05/2019;30-54622438-0;"BUENOS AIRES";PROV;9070000.00;"Comp. Gasoil"
05/2019;30-54622438-0;"BUENOS AIRES";PROV;41667162.72;"Comp. Tarifaria"
05/2019;30-54622469-0;"BUENOS AIRES";PROV;22000.00;"Comp. Gasoil"
05/2019;30-54622469-0;"BUENOS AIRES";PROV;317097.38;"Comp. Tarifaria"
05/2019;30-54622667-7;"BUENOS AIRES";PROV;285980.76;"Comp. Tarifaria"
05/2019;30-54622667-7;"BUENOS AIRES";PROV;260000.00;"Comp. Gasoil"
05/2019;30-54622889-0;"BUENOS AIRES";PROV;28644169.10;"Comp. Tarifaria"
05/2019;30-54622889-0;"BUENOS AIRES";PROV;6540000.00;"Comp. Gasoil"
05/2019;30-54622896-3;"BUENOS AIRES";PROV;19320000.00;"Comp. Gasoil"
05/2019;30-54622896-3;"BUENOS AIRES";PROV;70057789.95;"Comp. Tarifaria"
05/2019;30-54622964-1;"BUENOS AIRES";PROV;4197886.20;"Comp. Tarifaria"
05/2019;30-54622964-1;"BUENOS AIRES";PROV;1100000.00;"Comp. Gasoil"
05/2019;30-54623073-9;"BUENOS AIRES";PROV;9670000.00;"Comp. Gasoil"
05/2019;30-54623073-9;"BUENOS AIRES";PROV;32884573.70;"Comp. Tarifaria"
05/2019;30-54623653-2;"BUENOS AIRES";PROV;3838000.00;"Comp. Gasoil"
05/2019;30-54623653-2;"BUENOS AIRES";PROV;13791357.77;"Comp. Tarifaria"
05/2019;30-54624298-2;"BUENOS AIRES";PROV;13999598.62;"Comp. Tarifaria"
05/2019;30-54624298-2;"BUENOS AIRES";PROV;4010000.00;"Comp. Gasoil"
05/2019;30-54624700-3;"BUENOS AIRES";PROV;2300000.00;"Comp. Gasoil"
05/2019;30-54624700-3;"BUENOS AIRES";PROV;5306190.01;"Comp. Tarifaria"
05/2019;30-54624786-0;"BUENOS AIRES";PROV;1310000.00;"Comp. Gasoil"
05/2019;30-54624786-0;"BUENOS AIRES";PROV;6927465.78;"Comp. Tarifaria"
05/2019;30-54625024-1;"BUENOS AIRES";PROV;9370000.00;"Comp. Gasoil"
05/2019;30-54625024-1;"BUENOS AIRES";PROV;34348294.48;"Comp. Tarifaria"
05/2019;30-54625291-0;"BUENOS AIRES";PROV;8190000.00;"Comp. Gasoil"
05/2019;30-54625291-0;"BUENOS AIRES";PROV;25909596.84;"Comp. Tarifaria"
05/2019;30-54625451-4;"BUENOS AIRES";PROV;8104067.21;"Comp. Tarifaria"
05/2019;30-54625451-4;"BUENOS AIRES";PROV;2142000.00;"Comp. Gasoil"
05/2019;30-54629668-3;"BUENOS AIRES";PROV;704000.00;"Comp. Gasoil"
05/2019;30-54629668-3;"BUENOS AIRES";PROV;2437586.23;"Comp. Tarifaria"
05/2019;30-54631986-1;"BUENOS AIRES";PROV;1210000.00;"Comp. Gasoil"
05/2019;30-54631986-1;"BUENOS AIRES";PROV;4648960.47;"Comp. Tarifaria"
05/2019;30-54632095-9;"BUENOS AIRES";PROV;2680000.00;"Comp. Gasoil"
05/2019;30-54632095-9;"BUENOS AIRES";PROV;13062885.07;"Comp. Tarifaria"
05/2019;30-54633296-5;"BUENOS AIRES";PROV;2328000.00;"Comp. Gasoil"
05/2019;30-54633296-5;"BUENOS AIRES";PROV;8194898.43;"Comp. Tarifaria"
05/2019;30-54633692-8;"BUENOS AIRES";PROV;4460000.00;"Comp. Gasoil"
05/2019;30-54633692-8;"BUENOS AIRES";PROV;15362612.00;"Comp. Tarifaria"
05/2019;30-54634060-7;"BUENOS AIRES";PROV;3059660.47;"Comp. Tarifaria"
05/2019;30-54634060-7;"BUENOS AIRES";PROV;590000.00;"Comp. Gasoil"
05/2019;30-54634336-3;"BUENOS AIRES";PROV;1960000.00;"Comp. Gasoil"
05/2019;30-54634336-3;"BUENOS AIRES";PROV;8369688.54;"Comp. Tarifaria"
05/2019;30-54634404-1;"BUENOS AIRES";PROV;460000.00;"Comp. Gasoil"
05/2019;30-54634404-1;"BUENOS AIRES";PROV;1929644.95;"Comp. Tarifaria"
05/2019;30-54634473-4;"BUENOS AIRES";PROV;4830000.00;"Comp. Gasoil"
05/2019;30-54634473-4;"BUENOS AIRES";PROV;16125864.69;"Comp. Tarifaria"
05/2019;30-54635100-5;"BUENOS AIRES";PROV;11062149.36;"Comp. Tarifaria"
05/2019;30-54635100-5;"BUENOS AIRES";PROV;3350000.00;"Comp. Gasoil"
05/2019;30-54635131-5;"BUENOS AIRES";PROV;2270000.00;"Comp. Gasoil"
05/2019;30-54635131-5;"BUENOS AIRES";PROV;10266759.55;"Comp. Tarifaria"
05/2019;30-54636523-5;"BUENOS AIRES";PROV;17969135.57;"Comp. Tarifaria"
05/2019;30-54636523-5;"BUENOS AIRES";PROV;4180000.00;"Comp. Gasoil"
05/2019;30-54636585-5;"BUENOS AIRES";PROV;11796242.50;"Comp. Tarifaria"
05/2019;30-54636585-5;"BUENOS AIRES";PROV;4190000.00;"Comp. Gasoil"
05/2019;30-54641413-9;"BUENOS AIRES";PROV;40272501.70;"Comp. Tarifaria"
05/2019;30-54641413-9;"BUENOS AIRES";PROV;14560000.00;"Comp. Gasoil"
05/2019;30-54641796-0;"BUENOS AIRES";PROV;10230000.00;"Comp. Gasoil"
05/2019;30-54641796-0;"BUENOS AIRES";PROV;32859555.94;"Comp. Tarifaria"
05/2019;30-54641925-4;"BUENOS AIRES";PROV;4396048.59;"Comp. Tarifaria"
05/2019;30-54641925-4;"BUENOS AIRES";PROV;860000.00;"Comp. Gasoil"
05/2019;30-54650008-6;"BUENOS AIRES";PROV;9500000.00;"Comp. Gasoil"
05/2019;30-54650008-6;"BUENOS AIRES";PROV;36505899.00;"Comp. Tarifaria"
05/2019;30-54653274-3;"BUENOS AIRES";PROV;36532630.64;"Comp. Tarifaria"
05/2019;30-54653274-3;"BUENOS AIRES";PROV;9590000.00;"Comp. Gasoil"
05/2019;30-54661590-8;"BUENOS AIRES";PROV;3820000.00;"Comp. Gasoil"
05/2019;30-54661590-8;"BUENOS AIRES";PROV;13720396.67;"Comp. Tarifaria"
05/2019;30-55484558-0;"BUENOS AIRES";PROV;20329652.87;"Comp. Tarifaria"
05/2019;30-55484558-0;"BUENOS AIRES";PROV;6080000.00;"Comp. Gasoil"
05/2019;30-55484725-7;"BUENOS AIRES";PROV;44081422.75;"Comp. Tarifaria"
05/2019;30-55484725-7;"BUENOS AIRES";PROV;10320000.00;"Comp. Gasoil"
05/2019;30-56190067-8;"BUENOS AIRES";PROV;10370000.00;"Comp. Gasoil"
05/2019;30-56190067-8;"BUENOS AIRES";PROV;37758838.74;"Comp. Tarifaria"
05/2019;30-58184769-2;"BUENOS AIRES";PROV;4520000.00;"Comp. Gasoil"
05/2019;30-58184769-2;"BUENOS AIRES";PROV;21745494.64;"Comp. Tarifaria"
05/2019;30-63898233-8;"BUENOS AIRES";PROV;4610000.00;"Comp. Gasoil"
05/2019;30-63898233-8;"BUENOS AIRES";PROV;17121435.77;"Comp. Tarifaria"
05/2019;30-65080001-6;"BUENOS AIRES";PROV;2240000.00;"Comp. Gasoil"
05/2019;30-65080001-6;"BUENOS AIRES";PROV;9755074.42;"Comp. Tarifaria"
05/2019;30-65585353-3;"BUENOS AIRES";PROV;636000.00;"Comp. Gasoil"
05/2019;30-65585353-3;"BUENOS AIRES";PROV;4964002.06;"Comp. Tarifaria"
05/2019;30-68013871-7;"BUENOS AIRES";PROV;1570000.00;"Comp. Gasoil"
05/2019;30-68013871-7;"BUENOS AIRES";PROV;9078121.80;"Comp. Tarifaria"
05/2019;30-68679471-3;"BUENOS AIRES";PROV;3640000.00;"Comp. Gasoil"
05/2019;30-68679471-3;"BUENOS AIRES";PROV;8793203.48;"Comp. Tarifaria"
05/2019;30-69225833-5;"BUENOS AIRES";PROV;9660144.28;"Comp. Tarifaria"
05/2019;30-69225833-5;"BUENOS AIRES";PROV;3500000.00;"Comp. Gasoil"
05/2019;30-70790289-9;"BUENOS AIRES";PROV;3040000.00;"Comp. Gasoil"
05/2019;30-70790289-9;"BUENOS AIRES";PROV;11462691.64;"Comp. Tarifaria"
05/2019;33-54625543-9;"BUENOS AIRES";PROV;5844440.52;"Comp. Tarifaria"
05/2019;33-54625543-9;"BUENOS AIRES";PROV;1310000.00;"Comp. Gasoil"
05/2019;33-54625963-9;"BUENOS AIRES";PROV;21940000.00;"Comp. Gasoil"
05/2019;33-54625963-9;"BUENOS AIRES";PROV;56475380.78;"Comp. Tarifaria"
05/2019;33-54634565-9;"BUENOS AIRES";PROV;8640000.00;"Comp. Gasoil"
05/2019;33-54634565-9;"BUENOS AIRES";PROV;32156122.06;"Comp. Tarifaria"
05/2019;33-54634954-9;"BUENOS AIRES";PROV;33310076.42;"Comp. Tarifaria"
05/2019;33-54634954-9;"BUENOS AIRES";PROV;6300000.00;"Comp. Gasoil"
05/2019;33-54635070-9;"BUENOS AIRES";PROV;3970000.00;"Comp. Gasoil"
05/2019;33-54635070-9;"BUENOS AIRES";PROV;17535936.03;"Comp. Tarifaria"
05/2019;33-54661071-9;"BUENOS AIRES";PROV;6220000.00;"Comp. Gasoil"
05/2019;33-54661071-9;"BUENOS AIRES";PROV;20678599.11;"Comp. Tarifaria"
05/2019;33-56815582-9;"BUENOS AIRES";PROV;4061835.60;"Comp. Tarifaria"
05/2019;33-56815582-9;"BUENOS AIRES";PROV;1160000.00;"Comp. Gasoil"
05/2019;30-71456617-9;"BUENOS AIRES";"PUNTA INDIO";0.00;"Comp. Gasoil"
05/2019;30-71456617-9;"BUENOS AIRES";"PUNTA INDIO";81622.94;"Comp. Tarifaria"
05/2019;30-52276217-9;"BUENOS AIRES";QUILMES;1170000.00;"Comp. Gasoil"
05/2019;30-52276217-9;"BUENOS AIRES";QUILMES;4490104.19;"Comp. Tarifaria"
05/2019;30-54622889-0;"BUENOS AIRES";QUILMES;3517586.74;"Comp. Tarifaria"
05/2019;30-54622889-0;"BUENOS AIRES";QUILMES;670000.00;"Comp. Gasoil"
05/2019;30-54625024-1;"BUENOS AIRES";QUILMES;7077300.31;"Comp. Tarifaria"
05/2019;30-54625024-1;"BUENOS AIRES";QUILMES;1988000.00;"Comp. Gasoil"
05/2019;30-54635100-5;"BUENOS AIRES";QUILMES;9801042.16;"Comp. Tarifaria"
05/2019;30-54635100-5;"BUENOS AIRES";QUILMES;1980000.00;"Comp. Gasoil"
05/2019;30-63898233-8;"BUENOS AIRES";"SAN FERNANDO";1390000.00;"Comp. Gasoil"
05/2019;30-63898233-8;"BUENOS AIRES";"SAN FERNANDO";5977648.27;"Comp. Tarifaria"
05/2019;30-54634473-4;"BUENOS AIRES";"SAN ISIDRO";4410000.00;"Comp. Gasoil"
05/2019;30-54634473-4;"BUENOS AIRES";"SAN ISIDRO";11648230.59;"Comp. Tarifaria"
05/2019;30-56190067-8;"BUENOS AIRES";"SAN MIGUEL";10214470.46;"Comp. Tarifaria"
05/2019;30-56190067-8;"BUENOS AIRES";"SAN MIGUEL";2260000.00;"Comp. Gasoil"
05/2019;30-56214129-0;"BUENOS AIRES";"SAN NICOLÁS DE LOS ARROYOS";1257662.05;"Comp. Tarifaria"
05/2019;30-54563704-5;"BUENOS AIRES";"SAN VICENTE";1688019.98;"Comp. Tarifaria"
05/2019;30-54563704-5;"BUENOS AIRES";"SAN VICENTE";390000.00;"Comp. Gasoil"
05/2019;30-54641994-7;"BUENOS AIRES";TIGRE;11603516.89;"Comp. Tarifaria"
05/2019;30-54641994-7;"BUENOS AIRES";TIGRE;2530000.00;"Comp. Gasoil"
05/2019;30-69225833-5;"BUENOS AIRES";TIGRE;5130000.00;"Comp. Gasoil"
05/2019;30-69225833-5;"BUENOS AIRES";TIGRE;16616186.05;"Comp. Tarifaria"
05/2019;30-71098891-5;"BUENOS AIRES";TIGRE;4843730.84;"Comp. Tarifaria"
05/2019;30-71098891-5;"BUENOS AIRES";TIGRE;1190000.00;"Comp. Gasoil"
05/2019;30-71254215-9;"BUENOS AIRES";TIGRE;920000.00;"Comp. Gasoil"
05/2019;30-71254215-9;"BUENOS AIRES";TIGRE;4654943.33;"Comp. Tarifaria"
05/2019;30-54579710-7;"BUENOS AIRES";"URBANO DE LA COSTA";27788.59;"Comp. Tarifaria"
05/2019;30-54579741-7;"BUENOS AIRES";"URBANO DE LA COSTA";132166.78;"Comp. Tarifaria"
