mes;provincia;municipio;cuit;razon_social;pago;monto
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-68586179-4;"EMPRESA 501 S.A.";"RCC GT      PAGO 1";1806140.21
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-68586179-4;"EMPRESA 501 S.A.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-68586179-4;"EMPRESA 501 S.A.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-68586179-4;"EMPRESA 501 S.A.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-68586179-4;"EMPRESA 501 S.A.";"RCC SD      PAGO 1";1302169.72
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-68586179-4;"EMPRESA 501 S.A.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-68586179-4;"EMPRESA 501 S.A.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";30-68586179-4;"EMPRESA 501 S.A.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-54634565-9;"EXPRESO VILLA GALICIA SAN JOSE S.A.";"RCC GT      PAGO 1";347787.17
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-54634565-9;"EXPRESO VILLA GALICIA SAN JOSE S.A.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-54634565-9;"EXPRESO VILLA GALICIA SAN JOSE S.A.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-54634565-9;"EXPRESO VILLA GALICIA SAN JOSE S.A.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-54634565-9;"EXPRESO VILLA GALICIA SAN JOSE S.A.";"RCC SD      PAGO 1";235751.72
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-54634565-9;"EXPRESO VILLA GALICIA SAN JOSE S.A.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-54634565-9;"EXPRESO VILLA GALICIA SAN JOSE S.A.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-54634565-9;"EXPRESO VILLA GALICIA SAN JOSE S.A.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-62074555-9;"EXPRESO ARSENO S.R.L";"RCC GT      PAGO 1";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-62074555-9;"EXPRESO ARSENO S.R.L";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-62074555-9;"EXPRESO ARSENO S.R.L";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-62074555-9;"EXPRESO ARSENO S.R.L";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-62074555-9;"EXPRESO ARSENO S.R.L";"RCC SD      PAGO 1";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-62074555-9;"EXPRESO ARSENO S.R.L";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-62074555-9;"EXPRESO ARSENO S.R.L";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ALMIRANTE BROWN";33-62074555-9;"EXPRESO ARSENO S.R.L";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";AVELLANEDA;33-54661071-9;"GENERAL TOMAS GUIDO S.A.C.I.F.";"RCC GT      PAGO 1";1623406.33
05/2018;"BUENOS AIRES";AVELLANEDA;33-54661071-9;"GENERAL TOMAS GUIDO S.A.C.I.F.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";AVELLANEDA;33-54661071-9;"GENERAL TOMAS GUIDO S.A.C.I.F.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";AVELLANEDA;33-54661071-9;"GENERAL TOMAS GUIDO S.A.C.I.F.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";AVELLANEDA;33-54661071-9;"GENERAL TOMAS GUIDO S.A.C.I.F.";"RCC SD      PAGO 1";868773.65
05/2018;"BUENOS AIRES";AVELLANEDA;33-54661071-9;"GENERAL TOMAS GUIDO S.A.C.I.F.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";AVELLANEDA;33-54661071-9;"GENERAL TOMAS GUIDO S.A.C.I.F.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";AVELLANEDA;33-54661071-9;"GENERAL TOMAS GUIDO S.A.C.I.F.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";BERAZATEGUI;30-52276217-9;"MICRO OMNIBUS QUILMES SA COM IND Y FINANC";"RCC GT      PAGO 1";2314018.71
05/2018;"BUENOS AIRES";BERAZATEGUI;30-52276217-9;"MICRO OMNIBUS QUILMES SA COM IND Y FINANC";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";BERAZATEGUI;30-52276217-9;"MICRO OMNIBUS QUILMES SA COM IND Y FINANC";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";BERAZATEGUI;30-52276217-9;"MICRO OMNIBUS QUILMES SA COM IND Y FINANC";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";BERAZATEGUI;30-52276217-9;"MICRO OMNIBUS QUILMES SA COM IND Y FINANC";"RCC SD      PAGO 1";1207716.85
05/2018;"BUENOS AIRES";BERAZATEGUI;30-52276217-9;"MICRO OMNIBUS QUILMES SA COM IND Y FINANC";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";BERAZATEGUI;30-52276217-9;"MICRO OMNIBUS QUILMES SA COM IND Y FINANC";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";BERAZATEGUI;30-52276217-9;"MICRO OMNIBUS QUILMES SA COM IND Y FINANC";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";BRANDSEN;30-70986951-1;"EMPRESA DE TRANSPORTE SANTA RITA S.R.L.";"RCC GT      PAGO 1";209669.12
05/2018;"BUENOS AIRES";BRANDSEN;30-70986951-1;"EMPRESA DE TRANSPORTE SANTA RITA S.R.L.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";BRANDSEN;30-70986951-1;"EMPRESA DE TRANSPORTE SANTA RITA S.R.L.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";BRANDSEN;30-70986951-1;"EMPRESA DE TRANSPORTE SANTA RITA S.R.L.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";BRANDSEN;30-70986951-1;"EMPRESA DE TRANSPORTE SANTA RITA S.R.L.";"RCC SD      PAGO 1";231185.89
05/2018;"BUENOS AIRES";BRANDSEN;30-70986951-1;"EMPRESA DE TRANSPORTE SANTA RITA S.R.L.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";BRANDSEN;30-70986951-1;"EMPRESA DE TRANSPORTE SANTA RITA S.R.L.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";BRANDSEN;30-70986951-1;"EMPRESA DE TRANSPORTE SANTA RITA S.R.L.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC GT      PAGO 1";132562.35
05/2018;"BUENOS AIRES";CAMPANA;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC SD      PAGO 1";48126.80
05/2018;"BUENOS AIRES";CAMPANA;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-71158328-5;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"RCC GT      PAGO 1";212868.85
05/2018;"BUENOS AIRES";CAMPANA;30-71158328-5;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-71158328-5;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-71158328-5;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-71158328-5;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"RCC SD      PAGO 1";181887.89
05/2018;"BUENOS AIRES";CAMPANA;30-71158328-5;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-71158328-5;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";CAMPANA;30-71158328-5;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";CAÑUELAS;30-54632033-9;"LINEA EXPRESO LINIERS S.A.";"RCC GT      PAGO 1";120583.02
05/2018;"BUENOS AIRES";CAÑUELAS;30-54632033-9;"LINEA EXPRESO LINIERS S.A.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";CAÑUELAS;30-54632033-9;"LINEA EXPRESO LINIERS S.A.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";CAÑUELAS;30-54632033-9;"LINEA EXPRESO LINIERS S.A.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";CAÑUELAS;30-54632033-9;"LINEA EXPRESO LINIERS S.A.";"RCC SD      PAGO 1";75422.74
05/2018;"BUENOS AIRES";CAÑUELAS;30-54632033-9;"LINEA EXPRESO LINIERS S.A.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";CAÑUELAS;30-54632033-9;"LINEA EXPRESO LINIERS S.A.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";CAÑUELAS;30-54632033-9;"LINEA EXPRESO LINIERS S.A.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC GT      PAGO 1";155993.01
05/2018;"BUENOS AIRES";ESCOBAR;30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC SD      PAGO 1";78869.90
05/2018;"BUENOS AIRES";ESCOBAR;30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-68679471-3;"LINEA SESENTA S.A.";"RCC GT      PAGO 1";885573.58
05/2018;"BUENOS AIRES";ESCOBAR;30-68679471-3;"LINEA SESENTA S.A.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-68679471-3;"LINEA SESENTA S.A.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-68679471-3;"LINEA SESENTA S.A.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-68679471-3;"LINEA SESENTA S.A.";"RCC SD      PAGO 1";466339.75
05/2018;"BUENOS AIRES";ESCOBAR;30-68679471-3;"LINEA SESENTA S.A.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-68679471-3;"LINEA SESENTA S.A.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-68679471-3;"LINEA SESENTA S.A.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC GT      PAGO 1";709253.61
05/2018;"BUENOS AIRES";ESCOBAR;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC SD      PAGO 1";470414.23
05/2018;"BUENOS AIRES";ESCOBAR;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";ESCOBAR;30-69225833-5;"MICRO OMNIBUS TIGRE S.A.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";30-54633296-5;"EMPRESA MONTE GRANDE S.A. LINEA 501";"RCC GT      PAGO 1";3960137.20
05/2018;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";30-54633296-5;"EMPRESA MONTE GRANDE S.A. LINEA 501";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";30-54633296-5;"EMPRESA MONTE GRANDE S.A. LINEA 501";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";30-54633296-5;"EMPRESA MONTE GRANDE S.A. LINEA 501";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";30-54633296-5;"EMPRESA MONTE GRANDE S.A. LINEA 501";"RCC SD      PAGO 1";2208539.81
05/2018;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";30-54633296-5;"EMPRESA MONTE GRANDE S.A. LINEA 501";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";30-54633296-5;"EMPRESA MONTE GRANDE S.A. LINEA 501";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";30-54633296-5;"EMPRESA MONTE GRANDE S.A. LINEA 501";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"EXALTACION DE LA CRUZ";30-70790289-9;"RUTA BUS SA";"RCC GT      PAGO 1";243002.26
05/2018;"BUENOS AIRES";"EXALTACION DE LA CRUZ";30-70790289-9;"RUTA BUS SA";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"EXALTACION DE LA CRUZ";30-70790289-9;"RUTA BUS SA";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"EXALTACION DE LA CRUZ";30-70790289-9;"RUTA BUS SA";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"EXALTACION DE LA CRUZ";30-70790289-9;"RUTA BUS SA";"RCC SD      PAGO 1";125284.59
05/2018;"BUENOS AIRES";"EXALTACION DE LA CRUZ";30-70790289-9;"RUTA BUS SA";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"EXALTACION DE LA CRUZ";30-70790289-9;"RUTA BUS SA";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"EXALTACION DE LA CRUZ";30-70790289-9;"RUTA BUS SA";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";EZEIZA;30-69305982-4;"EMPRESA J.M. EZEIZA S.R.L.";"RCC GT      PAGO 1";3048019.59
05/2018;"BUENOS AIRES";EZEIZA;30-69305982-4;"EMPRESA J.M. EZEIZA S.R.L.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";EZEIZA;30-69305982-4;"EMPRESA J.M. EZEIZA S.R.L.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";EZEIZA;30-69305982-4;"EMPRESA J.M. EZEIZA S.R.L.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";EZEIZA;30-69305982-4;"EMPRESA J.M. EZEIZA S.R.L.";"RCC SD      PAGO 1";1352435.93
05/2018;"BUENOS AIRES";EZEIZA;30-69305982-4;"EMPRESA J.M. EZEIZA S.R.L.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";EZEIZA;30-69305982-4;"EMPRESA J.M. EZEIZA S.R.L.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";EZEIZA;30-69305982-4;"EMPRESA J.M. EZEIZA S.R.L.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54622889-0;"MICRO OMNIBUS PRIMERA JUNTA S.A.";"RCC GT      PAGO 1";497248.24
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54622889-0;"MICRO OMNIBUS PRIMERA JUNTA S.A.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54622889-0;"MICRO OMNIBUS PRIMERA JUNTA S.A.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54622889-0;"MICRO OMNIBUS PRIMERA JUNTA S.A.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54622889-0;"MICRO OMNIBUS PRIMERA JUNTA S.A.";"RCC SD      PAGO 1";194060.42
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54622889-0;"MICRO OMNIBUS PRIMERA JUNTA S.A.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54622889-0;"MICRO OMNIBUS PRIMERA JUNTA S.A.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54622889-0;"MICRO OMNIBUS PRIMERA JUNTA S.A.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54669877-3;"COMPANIA MICROOMNIBUS LA COLORADA SACI";"RCC GT      PAGO 1";644574.41
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54669877-3;"COMPANIA MICROOMNIBUS LA COLORADA SACI";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54669877-3;"COMPANIA MICROOMNIBUS LA COLORADA SACI";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54669877-3;"COMPANIA MICROOMNIBUS LA COLORADA SACI";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54669877-3;"COMPANIA MICROOMNIBUS LA COLORADA SACI";"RCC SD      PAGO 1";363305.22
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54669877-3;"COMPANIA MICROOMNIBUS LA COLORADA SACI";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54669877-3;"COMPANIA MICROOMNIBUS LA COLORADA SACI";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";30-54669877-3;"COMPANIA MICROOMNIBUS LA COLORADA SACI";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";33-56815582-9;"TRANSPORTES SAN JUAN BAUTISTA SA";"RCC GT      PAGO 1";2427650.54
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";33-56815582-9;"TRANSPORTES SAN JUAN BAUTISTA SA";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";33-56815582-9;"TRANSPORTES SAN JUAN BAUTISTA SA";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";33-56815582-9;"TRANSPORTES SAN JUAN BAUTISTA SA";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";33-56815582-9;"TRANSPORTES SAN JUAN BAUTISTA SA";"RCC SD      PAGO 1";1371281.15
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";33-56815582-9;"TRANSPORTES SAN JUAN BAUTISTA SA";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";33-56815582-9;"TRANSPORTES SAN JUAN BAUTISTA SA";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"FLORENCIO VARELA";33-56815582-9;"TRANSPORTES SAN JUAN BAUTISTA SA";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"GENERAL RODRIGUEZ";33-54634954-9;"TRANSPORTES LA PERLITA S.A.";"RCC GT      PAGO 1";1315945.61
05/2018;"BUENOS AIRES";"GENERAL RODRIGUEZ";33-54634954-9;"TRANSPORTES LA PERLITA S.A.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"GENERAL RODRIGUEZ";33-54634954-9;"TRANSPORTES LA PERLITA S.A.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"GENERAL RODRIGUEZ";33-54634954-9;"TRANSPORTES LA PERLITA S.A.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"GENERAL RODRIGUEZ";33-54634954-9;"TRANSPORTES LA PERLITA S.A.";"RCC SD      PAGO 1";662168.60
05/2018;"BUENOS AIRES";"GENERAL RODRIGUEZ";33-54634954-9;"TRANSPORTES LA PERLITA S.A.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"GENERAL RODRIGUEZ";33-54634954-9;"TRANSPORTES LA PERLITA S.A.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"GENERAL RODRIGUEZ";33-54634954-9;"TRANSPORTES LA PERLITA S.A.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";"GENERAL SAN MARTIN";30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC GT      PAGO 1";2356357.02
05/2018;"BUENOS AIRES";"GENERAL SAN MARTIN";30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC GT      PAGO 2";0.00
05/2018;"BUENOS AIRES";"GENERAL SAN MARTIN";30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC GT      PAGO 3";0.00
05/2018;"BUENOS AIRES";"GENERAL SAN MARTIN";30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC GT      PAGO 4";0.00
05/2018;"BUENOS AIRES";"GENERAL SAN MARTIN";30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC SD      PAGO 1";1305979.54
05/2018;"BUENOS AIRES";"GENERAL SAN MARTIN";30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC SD      PAGO 2";0.00
05/2018;"BUENOS AIRES";"GENERAL SAN MARTIN";30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC SD      PAGO 3";0.00
05/2018;"BUENOS AIRES";"GENERAL SAN MARTIN";30-54653274-3;"COMPAÑIA LA ISLEÑA S.R.L.";"RCC SD      PAGO 4";0.00
05/2018;"BUENOS AIRES";ITUZAINGO;30-54622896-3;"EMPRESA LINEA DOSCIENTOS DIECISEIS S A DE TRANSPORTES";"RCC GT      PAGO 1";211338.03
05/2018;"BUENOS AIRES";ITUZAINGO;30-54622896-3;"EMPRESA LINEA DOSCIENTOS DIECISEIS S A DE TRANSPORTES";"RCC GT      PAGO 2";0.00
