anio,linea,TipoPasaje,TOTAL
08/2019,LINEA 102,ATRIBUTO SOCIAL,191537
08/2019,LINEA 102,ESCOLAR PRIMARIO BSAS,337
08/2019,LINEA 103,ESCOLAR SECUNDARIO CABA,21104
08/2019,LINEA 103,ESCOLAR INICIAL Y PRIMARIO CABA,2757
08/2019,LINEA 103,ESCOLAR SECUNDARIO BSAS,5069
08/2019,LINEA 103,NORMAL,543792
08/2019,LINEA 103,ATRIBUTO SOCIAL,214543
08/2019,LINEA 103,ESCOLAR PRIMARIO BSAS,1783
08/2019,LINEA 105,ESCOLAR PRIMARIO BSAS,1107
08/2019,LINEA 105,ESCOLAR SECUNDARIO CABA,15595
08/2019,LINEA 105,ESCOLAR INICIAL Y PRIMARIO CABA,3031
08/2019,LINEA 105,ESCOLAR SECUNDARIO BSAS,3405
08/2019,LINEA 105,NORMAL,690712
08/2019,LINEA 105,ATRIBUTO SOCIAL,237288
08/2019,LINEA 106,ESCOLAR INICIAL Y PRIMARIO CABA,5045
08/2019,LINEA 106,ESCOLAR SECUNDARIO BSAS,512
08/2019,LINEA 106,NORMAL,862638
08/2019,LINEA 106,ATRIBUTO SOCIAL,268550
08/2019,LINEA 106,ESCOLAR PRIMARIO BSAS,214
08/2019,LINEA 106,ESCOLAR SECUNDARIO CABA,30629
08/2019,LINEA 107,ESCOLAR PRIMARIO BSAS,179
08/2019,LINEA 107,ESCOLAR SECUNDARIO CABA,33054
08/2019,LINEA 107,ESCOLAR INICIAL Y PRIMARIO CABA,3500
08/2019,LINEA 107,ESCOLAR SECUNDARIO BSAS,653
08/2019,LINEA 107,NORMAL,729645
08/2019,LINEA 107,ATRIBUTO SOCIAL,261135
08/2019,LINEA 108,ESCOLAR SECUNDARIO CABA,9379
08/2019,LINEA 108,ESCOLAR INICIAL Y PRIMARIO CABA,1219
08/2019,LINEA 108,ESCOLAR SECUNDARIO BSAS,435
08/2019,LINEA 108,NORMAL,399432
08/2019,LINEA 108,ATRIBUTO SOCIAL,163681
08/2019,LINEA 108,ESCOLAR PRIMARIO BSAS,150
08/2019,LINEA 109,ATRIBUTO SOCIAL,185669
08/2019,LINEA 109,ESCOLAR PRIMARIO BSAS,135
08/2019,LINEA 109,ESCOLAR SECUNDARIO CABA,19328
08/2019,LINEA 109,ESCOLAR INICIAL Y PRIMARIO CABA,1884
08/2019,LINEA 109,ESCOLAR SECUNDARIO BSAS,424
08/2019,LINEA 109,NORMAL,564301
08/2019,LINEA 110,NORMAL,820486
08/2019,LINEA 110,ATRIBUTO SOCIAL,264829
08/2019,LINEA 110,ESCOLAR PRIMARIO BSAS,205
08/2019,LINEA 110,ESCOLAR SECUNDARIO CABA,30703
08/2019,LINEA 110,ESCOLAR INICIAL Y PRIMARIO CABA,4148
08/2019,LINEA 110,ESCOLAR SECUNDARIO BSAS,774
08/2019,LINEA 111,ATRIBUTO SOCIAL,186664
08/2019,LINEA 111,ESCOLAR PRIMARIO BSAS,710
08/2019,LINEA 111,ESCOLAR SECUNDARIO CABA,13569
08/2019,LINEA 111,ESCOLAR INICIAL Y PRIMARIO CABA,1481
08/2019,LINEA 111,ESCOLAR SECUNDARIO BSAS,2663
08/2019,LINEA 111,NORMAL,536268
08/2019,LINEA 113,ESCOLAR SECUNDARIO BSAS,2736
08/2019,LINEA 113,NORMAL,664465
08/2019,LINEA 113,ATRIBUTO SOCIAL,274968
08/2019,LINEA 113,ESCOLAR PRIMARIO BSAS,619
08/2019,LINEA 113,ESCOLAR SECUNDARIO CABA,16614
08/2019,LINEA 113,ESCOLAR INICIAL Y PRIMARIO CABA,1433
08/2019,LINEA 114,ATRIBUTO SOCIAL,247248
08/2019,LINEA 114,ESCOLAR PRIMARIO BSAS,393
08/2019,LINEA 114,ESCOLAR SECUNDARIO CABA,28479
08/2019,LINEA 114,ESCOLAR INICIAL Y PRIMARIO CABA,4307
08/2019,LINEA 114,ESCOLAR SECUNDARIO BSAS,1245
08/2019,LINEA 114,NORMAL,595518
08/2019,LINEA 115,ESCOLAR PRIMARIO BSAS,261
08/2019,LINEA 115,ESCOLAR SECUNDARIO CABA,19344
08/2019,LINEA 115,ESCOLAR INICIAL Y PRIMARIO CABA,2995
08/2019,LINEA 115,ESCOLAR SECUNDARIO BSAS,569
08/2019,LINEA 115,NORMAL,430498
08/2019,LINEA 115,ATRIBUTO SOCIAL,170370
08/2019,LINEA 117,ESCOLAR SECUNDARIO BSAS,5698
08/2019,LINEA 117,NORMAL,669049
08/2019,LINEA 117,ATRIBUTO SOCIAL,341622
08/2019,LINEA 117,ESCOLAR PRIMARIO BSAS,2148
08/2019,LINEA 117,ESCOLAR SECUNDARIO CABA,33556
08/2019,LINEA 117,ESCOLAR INICIAL Y PRIMARIO CABA,3387
08/2019,LINEA 118,ESCOLAR INICIAL Y PRIMARIO CABA,2032
08/2019,LINEA 118,ESCOLAR SECUNDARIO BSAS,710
08/2019,LINEA 118,NORMAL,484690
08/2019,LINEA 118,ATRIBUTO SOCIAL,244234
08/2019,LINEA 118,ESCOLAR PRIMARIO BSAS,249
08/2019,LINEA 118,ESCOLAR SECUNDARIO CABA,7666
08/2019,LINEA 12,ESCOLAR INICIAL Y PRIMARIO CABA,3914
08/2019,LINEA 12,ESCOLAR SECUNDARIO BSAS,2001
08/2019,LINEA 12,NORMAL,1134877
08/2019,LINEA 12,ATRIBUTO SOCIAL,418431
08/2019,LINEA 12,ESCOLAR PRIMARIO BSAS,739
08/2019,LINEA 12,ESCOLAR SECUNDARIO CABA,26223
08/2019,LINEA 123,ESCOLAR PRIMARIO BSAS,2073
08/2019,LINEA 123,ESCOLAR SECUNDARIO CABA,2944
08/2019,LINEA 123,ESCOLAR INICIAL Y PRIMARIO CABA,602
08/2019,LINEA 123,ESCOLAR SECUNDARIO BSAS,7942
08/2019,LINEA 123,NORMAL,237501
08/2019,LINEA 123,ATRIBUTO SOCIAL,112361
08/2019,LINEA 124,ATRIBUTO SOCIAL,212183
08/2019,LINEA 124,ESCOLAR PRIMARIO BSAS,160
08/2019,LINEA 124,ESCOLAR SECUNDARIO CABA,21124
08/2019,LINEA 124,ESCOLAR INICIAL Y PRIMARIO CABA,4265
08/2019,LINEA 124,ESCOLAR SECUNDARIO BSAS,353
08/2019,LINEA 124,NORMAL,605050
08/2019,LINEA 126,ESCOLAR PRIMARIO BSAS,1555
08/2019,LINEA 126,ESCOLAR SECUNDARIO CABA,26350
08/2019,LINEA 126,ESCOLAR INICIAL Y PRIMARIO CABA,3726
08/2019,LINEA 126,ESCOLAR SECUNDARIO BSAS,4597
08/2019,LINEA 126,NORMAL,834508
08/2019,LINEA 126,ATRIBUTO SOCIAL,341741
08/2019,LINEA 127,ESCOLAR INICIAL Y PRIMARIO CABA,1965
08/2019,LINEA 127,ESCOLAR SECUNDARIO BSAS,14654
08/2019,LINEA 127,NORMAL,412257
08/2019,LINEA 127,ATRIBUTO SOCIAL,210969
08/2019,LINEA 127,ESCOLAR PRIMARIO BSAS,3792
08/2019,LINEA 127,ESCOLAR SECUNDARIO CABA,7696
08/2019,LINEA 128,ESCOLAR INICIAL Y PRIMARIO CABA,2474
08/2019,LINEA 128,ESCOLAR SECUNDARIO BSAS,1695
08/2019,LINEA 128,NORMAL,454446
08/2019,LINEA 128,ATRIBUTO SOCIAL,181785
08/2019,LINEA 128,ESCOLAR PRIMARIO BSAS,593
08/2019,LINEA 128,ESCOLAR SECUNDARIO CABA,7885
08/2019,LINEA 129,ATRIBUTO SOCIAL,434974
08/2019,LINEA 129,ESCOLAR PRIMARIO BSAS,4353
08/2019,LINEA 129,ESCOLAR SECUNDARIO CABA,684
08/2019,LINEA 129,ESCOLAR INICIAL Y PRIMARIO CABA,237
08/2019,LINEA 129,ESCOLAR SECUNDARIO BSAS,13359
08/2019,LINEA 129,NORMAL,734686
08/2019,LINEA 130,ATRIBUTO SOCIAL,328678
08/2019,LINEA 130,ESCOLAR PRIMARIO BSAS,2518
08/2019,LINEA 130,ESCOLAR SECUNDARIO CABA,11177
08/2019,LINEA 130,ESCOLAR INICIAL Y PRIMARIO CABA,1814
08/2019,LINEA 130,ESCOLAR SECUNDARIO BSAS,12018
08/2019,LINEA 130,NORMAL,1064281
08/2019,LINEA 132,ATRIBUTO SOCIAL,507158
08/2019,LINEA 132,ESCOLAR PRIMARIO BSAS,542
08/2019,LINEA 132,ESCOLAR SECUNDARIO CABA,60778
08/2019,LINEA 132,ESCOLAR INICIAL Y PRIMARIO CABA,5914
08/2019,LINEA 132,ESCOLAR SECUNDARIO BSAS,1538
08/2019,LINEA 132,NORMAL,1222372
08/2019,LINEA 133,ATRIBUTO SOCIAL,191972
08/2019,LINEA 133,ESCOLAR PRIMARIO BSAS,224
08/2019,LINEA 133,ESCOLAR SECUNDARIO CABA,17746
08/2019,LINEA 133,ESCOLAR INICIAL Y PRIMARIO CABA,2010
08/2019,LINEA 133,ESCOLAR SECUNDARIO BSAS,719
08/2019,LINEA 133,NORMAL,513393
08/2019,LINEA 134,ESCOLAR SECUNDARIO CABA,12430
08/2019,LINEA 134,ESCOLAR INICIAL Y PRIMARIO CABA,1857
08/2019,LINEA 134,ESCOLAR SECUNDARIO BSAS,4790
08/2019,LINEA 134,NORMAL,546046
08/2019,LINEA 134,ATRIBUTO SOCIAL,228348
08/2019,LINEA 134,ESCOLAR PRIMARIO BSAS,1410
08/2019,LINEA 135,NORMAL,549255
08/2019,LINEA 135,ATRIBUTO SOCIAL,235367
08/2019,LINEA 135,ESCOLAR PRIMARIO BSAS,416
08/2019,LINEA 135,ESCOLAR SECUNDARIO CABA,38229
08/2019,LINEA 135,ESCOLAR INICIAL Y PRIMARIO CABA,3528
08/2019,LINEA 135,ESCOLAR SECUNDARIO BSAS,1083
08/2019,LINEA 136 BS AS,ATRIBUTO SOCIAL,201511
08/2019,LINEA 136 BS AS,ESCOLAR PRIMARIO BSAS,4405
08/2019,LINEA 136 BS AS,ESCOLAR SECUNDARIO CABA,263
08/2019,LINEA 136 BS AS,ESCOLAR INICIAL Y PRIMARIO CABA,77
08/2019,LINEA 136 BS AS,ESCOLAR SECUNDARIO BSAS,16902
08/2019,LINEA 136 BS AS,NORMAL,334411
08/2019,LINEA 140,ESCOLAR SECUNDARIO BSAS,1986
08/2019,LINEA 140,NORMAL,507021
08/2019,LINEA 140,ATRIBUTO SOCIAL,173170
08/2019,LINEA 140,ESCOLAR PRIMARIO BSAS,703
08/2019,LINEA 140,ESCOLAR SECUNDARIO CABA,8456
08/2019,LINEA 140,ESCOLAR INICIAL Y PRIMARIO CABA,1946
08/2019,LINEA 141,ESCOLAR INICIAL Y PRIMARIO CABA,2445
08/2019,LINEA 141,ESCOLAR SECUNDARIO BSAS,515
08/2019,LINEA 141,NORMAL,459701
08/2019,LINEA 141,ATRIBUTO SOCIAL,186639
08/2019,LINEA 141,ESCOLAR PRIMARIO BSAS,233
08/2019,LINEA 141,ESCOLAR SECUNDARIO CABA,17165
08/2019,LINEA 143,ESCOLAR INICIAL Y PRIMARIO CABA,2728
08/2019,LINEA 143,ESCOLAR SECUNDARIO BSAS,1332
08/2019,LINEA 143,NORMAL,462101
08/2019,LINEA 143,ATRIBUTO SOCIAL,171360
08/2019,LINEA 143,ESCOLAR PRIMARIO BSAS,628
08/2019,LINEA 143,ESCOLAR SECUNDARIO CABA,17627
08/2019,LINEA 146,ESCOLAR SECUNDARIO CABA,26610
08/2019,LINEA 146,ESCOLAR INICIAL Y PRIMARIO CABA,4204
08/2019,LINEA 146,ESCOLAR SECUNDARIO BSAS,1671
08/2019,LINEA 146,NORMAL,615961
08/2019,LINEA 146,ATRIBUTO SOCIAL,223318
08/2019,LINEA 146,ESCOLAR PRIMARIO BSAS,631
08/2019,LINEA 148,ATRIBUTO SOCIAL,799805
08/2019,LINEA 148,ESCOLAR PRIMARIO BSAS,15905
08/2019,LINEA 148,ESCOLAR SECUNDARIO CABA,2010
08/2019,LINEA 148,ESCOLAR INICIAL Y PRIMARIO CABA,740
08/2019,LINEA 148,ESCOLAR SECUNDARIO BSAS,53093
08/2019,LINEA 148,NORMAL,1352175
08/2019,LINEA 15,ESCOLAR PRIMARIO BSAS,1645
08/2019,LINEA 15,ESCOLAR SECUNDARIO CABA,21337
08/2019,LINEA 15,ESCOLAR INICIAL Y PRIMARIO CABA,2224
08/2019,LINEA 15,ESCOLAR SECUNDARIO BSAS,7295
08/2019,LINEA 15,NORMAL,1218659
08/2019,LINEA 15,ATRIBUTO SOCIAL,503004
08/2019,LINEA 150,ESCOLAR SECUNDARIO BSAS,424
08/2019,LINEA 150,NORMAL,439638
08/2019,LINEA 150,ATRIBUTO SOCIAL,160888
08/2019,LINEA 150,ESCOLAR PRIMARIO BSAS,180
08/2019,LINEA 150,ESCOLAR SECUNDARIO CABA,25144
08/2019,LINEA 150,ESCOLAR INICIAL Y PRIMARIO CABA,3183
08/2019,LINEA 151,ESCOLAR SECUNDARIO CABA,15463
08/2019,LINEA 151,ESCOLAR INICIAL Y PRIMARIO CABA,4016
08/2019,LINEA 151,ESCOLAR SECUNDARIO BSAS,1170
08/2019,LINEA 151,NORMAL,650520
08/2019,LINEA 151,ATRIBUTO SOCIAL,250382
08/2019,LINEA 151,ESCOLAR PRIMARIO BSAS,577
08/2019,LINEA 152,ESCOLAR INICIAL Y PRIMARIO CABA,1810
08/2019,LINEA 152,ESCOLAR SECUNDARIO BSAS,11042
08/2019,LINEA 152,NORMAL,1935371
08/2019,LINEA 152,ATRIBUTO SOCIAL,572156
08/2019,LINEA 152,ESCOLAR PRIMARIO BSAS,1532
08/2019,LINEA 152,ESCOLAR SECUNDARIO CABA,16961
08/2019,LINEA 153 BS AS,ESCOLAR INICIAL Y PRIMARIO CABA,37
08/2019,LINEA 153 BS AS,ESCOLAR SECUNDARIO BSAS,10708
08/2019,LINEA 153 BS AS,NORMAL,198798
08/2019,LINEA 153 BS AS,ATRIBUTO SOCIAL,120261
08/2019,LINEA 153 BS AS,ESCOLAR PRIMARIO BSAS,1942
08/2019,LINEA 153 BS AS,ESCOLAR SECUNDARIO CABA,148
08/2019,LINEA 154,ESCOLAR PRIMARIO BSAS,1062
08/2019,LINEA 154,ESCOLAR SECUNDARIO CABA,1212
08/2019,LINEA 154,ESCOLAR INICIAL Y PRIMARIO CABA,226
08/2019,LINEA 154,ESCOLAR SECUNDARIO BSAS,3282
08/2019,LINEA 154,NORMAL,97484
08/2019,LINEA 154,ATRIBUTO SOCIAL,47165
08/2019,LINEA 158,ESCOLAR PRIMARIO BSAS,3014
08/2019,LINEA 158,ESCOLAR SECUNDARIO CABA,1393
08/2019,LINEA 158,ESCOLAR INICIAL Y PRIMARIO CABA,611
08/2019,LINEA 158,ESCOLAR SECUNDARIO BSAS,10217
08/2019,LINEA 158,NORMAL,291068
08/2019,LINEA 158,ATRIBUTO SOCIAL,166146
08/2019,LINEA 159,ESCOLAR SECUNDARIO CABA,4635
08/2019,LINEA 159,ESCOLAR INICIAL Y PRIMARIO CABA,1090
08/2019,LINEA 159,ESCOLAR SECUNDARIO BSAS,35774
08/2019,LINEA 159,NORMAL,1419924
08/2019,LINEA 159,ATRIBUTO SOCIAL,703909
08/2019,LINEA 159,ESCOLAR PRIMARIO BSAS,10767
08/2019,LINEA 160,ATRIBUTO SOCIAL,476205
08/2019,LINEA 160,ESCOLAR PRIMARIO BSAS,8574
08/2019,LINEA 160,ESCOLAR SECUNDARIO CABA,10140
08/2019,LINEA 160,ESCOLAR INICIAL Y PRIMARIO CABA,2002
08/2019,LINEA 160,ESCOLAR SECUNDARIO BSAS,30042
08/2019,LINEA 160,NORMAL,1084366
08/2019,LINEA 161,ESCOLAR SECUNDARIO CABA,8539
08/2019,LINEA 161,ESCOLAR INICIAL Y PRIMARIO CABA,1836
08/2019,LINEA 161,ESCOLAR SECUNDARIO BSAS,25336
08/2019,LINEA 161,NORMAL,963211
08/2019,LINEA 161,ATRIBUTO SOCIAL,492820
08/2019,LINEA 161,ESCOLAR PRIMARIO BSAS,5403
08/2019,LINEA 163 BS AS,ESCOLAR SECUNDARIO BSAS,13409
08/2019,LINEA 163 BS AS,NORMAL,241669
08/2019,LINEA 163 BS AS,ATRIBUTO SOCIAL,129981
08/2019,LINEA 163 BS AS,ESCOLAR PRIMARIO BSAS,4235
08/2019,LINEA 163 BS AS,ESCOLAR SECUNDARIO CABA,292
08/2019,LINEA 163 BS AS,ESCOLAR INICIAL Y PRIMARIO CABA,114
08/2019,LINEA 166,NORMAL,870251
08/2019,LINEA 166,ATRIBUTO SOCIAL,320782
08/2019,LINEA 166,ESCOLAR PRIMARIO BSAS,3022
08/2019,LINEA 166,ESCOLAR SECUNDARIO CABA,8026
08/2019,LINEA 166,ESCOLAR INICIAL Y PRIMARIO CABA,1022
08/2019,LINEA 166,ESCOLAR SECUNDARIO BSAS,12977
08/2019,LINEA 168,ESCOLAR PRIMARIO BSAS,1177
08/2019,LINEA 168,ESCOLAR SECUNDARIO CABA,13115
08/2019,LINEA 168,ESCOLAR INICIAL Y PRIMARIO CABA,3855
08/2019,LINEA 168,ESCOLAR SECUNDARIO BSAS,2955
08/2019,LINEA 168,NORMAL,917346
08/2019,LINEA 168,ATRIBUTO SOCIAL,349682
08/2019,LINEA 169,ESCOLAR PRIMARIO BSAS,2587
08/2019,LINEA 169,ESCOLAR SECUNDARIO CABA,4558
08/2019,LINEA 169,ESCOLAR INICIAL Y PRIMARIO CABA,521
08/2019,LINEA 169,ESCOLAR SECUNDARIO BSAS,11683
08/2019,LINEA 169,NORMAL,331614
08/2019,LINEA 169,ATRIBUTO SOCIAL,167362
08/2019,LINEA 17,ESCOLAR INICIAL Y PRIMARIO CABA,952
08/2019,LINEA 17,ESCOLAR SECUNDARIO BSAS,20266
08/2019,LINEA 17,NORMAL,875417
08/2019,LINEA 17,ATRIBUTO SOCIAL,315044
08/2019,LINEA 17,ESCOLAR PRIMARIO BSAS,5088
08/2019,LINEA 17,ESCOLAR SECUNDARIO CABA,4730
08/2019,LINEA 172,ESCOLAR SECUNDARIO BSAS,8246
08/2019,LINEA 172,NORMAL,352306
08/2019,LINEA 172,ATRIBUTO SOCIAL,168070
08/2019,LINEA 172,ESCOLAR PRIMARIO BSAS,2743
08/2019,LINEA 172,ESCOLAR SECUNDARIO CABA,4303
08/2019,LINEA 172,ESCOLAR INICIAL Y PRIMARIO CABA,994
08/2019,LINEA 174 BS AS,ESCOLAR SECUNDARIO CABA,1638
08/2019,LINEA 174 BS AS,ESCOLAR INICIAL Y PRIMARIO CABA,429
08/2019,LINEA 174 BS AS,ESCOLAR SECUNDARIO BSAS,27722
08/2019,LINEA 174 BS AS,NORMAL,457565
08/2019,LINEA 174 BS AS,ATRIBUTO SOCIAL,309249
08/2019,LINEA 174 BS AS,ESCOLAR PRIMARIO BSAS,7718
08/2019,LINEA 175,NORMAL,244537
08/2019,LINEA 175,ATRIBUTO SOCIAL,137909
08/2019,LINEA 175,ESCOLAR PRIMARIO BSAS,3090
08/2019,LINEA 175,ESCOLAR SECUNDARIO CABA,4049
08/2019,LINEA 175,ESCOLAR INICIAL Y PRIMARIO CABA,673
08/2019,LINEA 175,ESCOLAR SECUNDARIO BSAS,12146
08/2019,LINEA 176,ATRIBUTO SOCIAL,800663
08/2019,LINEA 176,ESCOLAR PRIMARIO BSAS,19533
08/2019,LINEA 176,ESCOLAR SECUNDARIO CABA,2452
08/2019,LINEA 176,ESCOLAR INICIAL Y PRIMARIO CABA,799
08/2019,LINEA 176,ESCOLAR SECUNDARIO BSAS,63883
08/2019,LINEA 176,NORMAL,1195894
08/2019,LINEA 177,ESCOLAR INICIAL Y PRIMARIO CABA,203
08/2019,LINEA 177,ESCOLAR SECUNDARIO BSAS,17992
08/2019,LINEA 177,NORMAL,472504
08/2019,LINEA 177,ATRIBUTO SOCIAL,278039
08/2019,LINEA 177,ESCOLAR PRIMARIO BSAS,7372
08/2019,LINEA 177,ESCOLAR SECUNDARIO CABA,525
08/2019,LINEA 178,NORMAL,859106
08/2019,LINEA 178,ATRIBUTO SOCIAL,514535
08/2019,LINEA 178,ESCOLAR PRIMARIO BSAS,20044
08/2019,LINEA 178,ESCOLAR SECUNDARIO CABA,1302
08/2019,LINEA 178,ESCOLAR INICIAL Y PRIMARIO CABA,942
08/2019,LINEA 178,ESCOLAR SECUNDARIO BSAS,40011
08/2019,LINEA 179,ATRIBUTO SOCIAL,168724
08/2019,LINEA 179,ESCOLAR PRIMARIO BSAS,5569
08/2019,LINEA 179,ESCOLAR SECUNDARIO CABA,747
08/2019,LINEA 179,ESCOLAR INICIAL Y PRIMARIO CABA,516
08/2019,LINEA 179,ESCOLAR SECUNDARIO BSAS,13961
08/2019,LINEA 179,NORMAL,301233
08/2019,LINEA 180,ESCOLAR PRIMARIO BSAS,4867
08/2019,LINEA 180,ESCOLAR SECUNDARIO CABA,17213
08/2019,LINEA 180,ESCOLAR INICIAL Y PRIMARIO CABA,1631
08/2019,LINEA 180,ESCOLAR SECUNDARIO BSAS,18909
08/2019,LINEA 180,NORMAL,1116092
08/2019,LINEA 180,ATRIBUTO SOCIAL,742308
08/2019,LINEA 181,NORMAL,467388
08/2019,LINEA 181,ATRIBUTO SOCIAL,236033
08/2019,LINEA 181,ESCOLAR PRIMARIO BSAS,2282
08/2019,LINEA 181,ESCOLAR SECUNDARIO CABA,22041
08/2019,LINEA 181,ESCOLAR INICIAL Y PRIMARIO CABA,2089
08/2019,LINEA 181,ESCOLAR SECUNDARIO BSAS,9427
08/2019,LINEA 182,ESCOLAR SECUNDARIO CABA,4545
08/2019,LINEA 182,ESCOLAR INICIAL Y PRIMARIO CABA,512
08/2019,LINEA 182,ESCOLAR SECUNDARIO BSAS,41069
08/2019,LINEA 182,NORMAL,728064
08/2019,LINEA 182,ATRIBUTO SOCIAL,443667
08/2019,LINEA 182,ESCOLAR PRIMARIO BSAS,10837
08/2019,LINEA 184,ESCOLAR SECUNDARIO CABA,6140
08/2019,LINEA 184,ESCOLAR INICIAL Y PRIMARIO CABA,539
08/2019,LINEA 184,ESCOLAR SECUNDARIO BSAS,9315
08/2019,LINEA 184,NORMAL,337168
08/2019,LINEA 184,ATRIBUTO SOCIAL,167284
08/2019,LINEA 184,ESCOLAR PRIMARIO BSAS,1264
08/2019,LINEA 185,ESCOLAR INICIAL Y PRIMARIO CABA,258
08/2019,LINEA 185,ESCOLAR SECUNDARIO BSAS,7483
08/2019,LINEA 185,NORMAL,214955
08/2019,LINEA 185,ATRIBUTO SOCIAL,141763
08/2019,LINEA 185,ESCOLAR PRIMARIO BSAS,1999
08/2019,LINEA 185,ESCOLAR SECUNDARIO CABA,4941
08/2019,LINEA 188,ATRIBUTO SOCIAL,339150
08/2019,LINEA 188,ESCOLAR PRIMARIO BSAS,3893
08/2019,LINEA 188,ESCOLAR SECUNDARIO CABA,11276
08/2019,LINEA 188,ESCOLAR INICIAL Y PRIMARIO CABA,3654
08/2019,LINEA 188,ESCOLAR SECUNDARIO BSAS,12109
08/2019,LINEA 188,NORMAL,555966
08/2019,LINEA 19,ATRIBUTO SOCIAL,210337
08/2019,LINEA 19,ESCOLAR PRIMARIO BSAS,1866
08/2019,LINEA 19,ESCOLAR SECUNDARIO CABA,6593
08/2019,LINEA 19,ESCOLAR INICIAL Y PRIMARIO CABA,1846
08/2019,LINEA 19,ESCOLAR SECUNDARIO BSAS,8908
08/2019,LINEA 19,NORMAL,446153
08/2019,LINEA 193,ESCOLAR SECUNDARIO BSAS,2739
08/2019,LINEA 193,NORMAL,118846
08/2019,LINEA 193,ATRIBUTO SOCIAL,69467
08/2019,LINEA 193,ESCOLAR PRIMARIO BSAS,633
08/2019,LINEA 193,ESCOLAR SECUNDARIO CABA,1420
08/2019,LINEA 193,ESCOLAR INICIAL Y PRIMARIO CABA,450
08/2019,LINEA 194,ESCOLAR SECUNDARIO BSAS,3358
08/2019,LINEA 194,NORMAL,397948
08/2019,LINEA 194,ATRIBUTO SOCIAL,253121
08/2019,LINEA 194,ESCOLAR PRIMARIO BSAS,552
08/2019,LINEA 194,ESCOLAR SECUNDARIO CABA,468
08/2019,LINEA 194,ESCOLAR INICIAL Y PRIMARIO CABA,279
08/2019,LINEA 195,ESCOLAR SECUNDARIO CABA,75
08/2019,LINEA 195,ESCOLAR INICIAL Y PRIMARIO CABA,59
08/2019,LINEA 195,ESCOLAR SECUNDARIO BSAS,716
08/2019,LINEA 195,NORMAL,193185
08/2019,LINEA 195,ATRIBUTO SOCIAL,117919
08/2019,LINEA 195,ESCOLAR PRIMARIO BSAS,266
08/2019,LINEA 2,ESCOLAR INICIAL Y PRIMARIO CABA,3069
08/2019,LINEA 2,ESCOLAR SECUNDARIO BSAS,678
08/2019,LINEA 2,NORMAL,637782
08/2019,LINEA 2,ATRIBUTO SOCIAL,236020
08/2019,LINEA 2,ESCOLAR PRIMARIO BSAS,227
08/2019,LINEA 2,ESCOLAR SECUNDARIO CABA,21311
08/2019,LINEA 20,ESCOLAR INICIAL Y PRIMARIO CABA,321
08/2019,LINEA 20,ESCOLAR SECUNDARIO BSAS,7504
08/2019,LINEA 20,NORMAL,288283
08/2019,LINEA 20,ATRIBUTO SOCIAL,135827
08/2019,LINEA 20,ESCOLAR PRIMARIO BSAS,2215
08/2019,LINEA 20,ESCOLAR SECUNDARIO CABA,3278
08/2019,LINEA 200,ESCOLAR SECUNDARIO CABA,44
08/2019,LINEA 200,ESCOLAR INICIAL Y PRIMARIO CABA,34
08/2019,LINEA 200,ESCOLAR SECUNDARIO BSAS,4537
08/2019,LINEA 200,NORMAL,62503
